State	ACTION									GOTO							
	+	*	num_lit	bool_lit	(	)	Compute	.	$	Z	L	E	A	M	U	P	C
0							s3				1						2
1									acc								
2									r1								
3			s9	s10	s11							4	5	6	7	8	
4								s12									
5	s13					r2		r2									
6	r4	s14				r4		r4									
7	r6	r6				r6		r6									
8	r7	r7				r7		r7									
9	r8	r8				r8		r8									
10	r9	r9				r9		r9									
11			s9	s10	s11							15	5	6	7	8	
12									r11								
13			s9	s10	s11									16	7	8	
14			s9	s10	s11										17	8	
15						s18											
16	r3	s14				r3		r3									
17	r5	r5				r5		r5									
18	r10	r10				r10		r10									
