State,ACTION,,,,,,,,,,,,,,GOTO,,,,,,,,
,if,then,else,<,=,+,*,num_lit,bool_lit,(,),Compute,.,$,Z,L,E,B,A,M,U,P,C
0,,,,,,,,,,,,s3,,,,1,,,,,,,2
1,,,,,,,,,,,,,,acc,,,,,,,,,
2,,,,,,,,,,,,,,r1,,,,,,,,,
3,s5,,,,,,,s10,s11,s12,,,,,,,4,,6,7,8,9,
4,,,,,,,,,,,,,s13,,,,,,,,,,
5,,,,,,,,s10,s11,s12,,,,,,,,14,,,,15,
6,,,,,,s16,,,,,r3,,r3,,,,,,,,,,
7,,,r8,,,r8,s17,,,,r8,,r8,,,,,,,,,,
8,,,r10,,,r10,r10,,,,r10,,r10,,,,,,,,,,
9,,,r11,,,r11,r11,,,,r11,,r11,,,,,,,,,,
10,,r12,r12,r12,r12,r12,r12,,,,r12,,r12,,,,,,,,,,
11,,r13,r13,r13,r13,r13,r13,,,,r13,,r13,,,,,,,,,,
12,s5,,,,,,,s10,s11,s12,,,,,,,18,,6,7,8,9,
13,,,,,,,,,,,,,,r15,,,,,,,,,
14,,s19,,,,,,,,,,,,,,,,,,,,,
15,,r6,,s20,s21,,,,,,,,,,,,,,,,,,
16,,,,,,,,s10,s11,s12,,,,,,,,,,22,8,9,
17,,,,,,,,s10,s11,s12,,,,,,,,,,,23,9,
18,,,,,,,,,,,s24,,,,,,,,,,,,
19,,,,,,,,s10,s11,s12,,,,,,,,,25,7,8,9,
20,,,,,,,,s10,s11,s12,,,,,,,,,,,,26,
21,,,,,,,,s10,s11,s12,,,,,,,,,,,,27,
22,,,r7,,,r7,s17,,,,r7,,r7,,,,,,,,,,
23,,,r9,,,r9,r9,,,,r9,,r9,,,,,,,,,,
24,,r14,r14,r14,r14,r14,r14,,,,r14,,r14,,,,,,,,,,
25,,,s28,,,s16,,,,,,,,,,,,,,,,,
26,,r4,,,,,,,,,,,,,,,,,,,,,
27,,r5,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,s10,s11,s12,,,,,,,,,29,7,8,9,
29,,,,,,s16,,,,,r2,,r2,,,,,,,,,,
