State,ACTION,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,
,Let,id,be,.,num,bool,if,then,else,<,=,+,*,num_lit,bool_lit,(,),Compute,$,Z,L,S,D,T,E,B,A,M,U,P,C
0,s6,,,,,,,,,,,,,,,,,s4,,,1,3,5,,,,,,,,2
1,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,
3,s6,,,,,,,,,,,,,,,,,s4,,,,,8,,,,,,,,7
4,,s17,,,,,s10,,,,,,,s15,s16,s18,,,,,,,,,9,,11,12,13,14,
5,r4,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,
6,,,,,s20,s21,,,,,,,,,,,,,,,,,,19,,,,,,,
7,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,
8,r3,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,
9,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,23,,,,24,
11,,,,r9,,,,,,,,s25,,,,,r9,,,,,,,,,,,,,,
12,,,,r14,,,,,r14,,,r14,s26,,,,r14,,,,,,,,,,,,,,
13,,,,r16,,,,,r16,,,r16,r16,,,,r16,,,,,,,,,,,,,,
14,,,,r17,,,,,r17,,,r17,r17,,,,r17,,,,,,,,,,,,,,
15,,,,r18,,,,r18,r18,r18,r18,r18,r18,,,,r18,,,,,,,,,,,,,,
16,,,,r19,,,,r19,r19,r19,r19,r19,r19,,,,r19,,,,,,,,,,,,,,
17,,,,r20,,,,r20,r20,r20,r20,r20,r20,,,,r20,,,,,,,,,,,,,,
18,,s17,,,,,s10,,,,,,,s15,s16,s18,,,,,,,,,27,,11,12,13,14,
19,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,
23,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,r12,,s30,s31,,,,,,,,,,,,,,,,,,,,
25,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,,32,13,14,
26,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,,,33,14,
27,,,,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,
28,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,36,12,13,14,
30,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,,,,37,
31,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,,,,38,
32,,,,r13,,,,,r13,,,r13,s26,,,,r13,,,,,,,,,,,,,,
33,,,,r15,,,,,r15,,,r15,r15,,,,r15,,,,,,,,,,,,,,
34,,,,r21,,,,r21,r21,r21,r21,r21,r21,,,,r21,,,,,,,,,,,,,,
35,,s17,,,,,s10,,,,,,,s15,s16,s18,,,,,,,,,39,,11,12,13,14,
36,,,,,,,,,s40,,,s25,,,,,,,,,,,,,,,,,,,
37,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,
39,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,s17,,,,,,,,,,,,s15,s16,s18,,,,,,,,,,,42,12,13,14,
41,r5,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,
42,,,,r8,,,,,,,,s25,,,,,r8,,,,,,,,,,,,,,
